あれを 人質としてここに置いて行こう
こんどはメロスが嘲笑した
メロスは眼に涙を浮べて言った
ああ 王は悧巧だ
はい はじめは王様の妹婿さまを
まだ陽は沈まぬ
一刻といえども むだには出来ない
と暴君は 嗄れた声で低く笑った
私は約束を守ります
どうか わしをも仲間に入れてくれまいか
泳ぎ切るより他に無い
ああ 陽が沈む
おまえに言いたいのは それだけだ
だまれ 下賤の者
最後の死力を尽して メロスは走った
他には 何も無い
私は 途中で一度 悪い夢を見た
生意気なことを言うわい
若い衆は 首を振って答えなかった
まだ陽は沈まぬ
身体疲労すれば 精神も共にやられる
信じては ならぬ
そうです
王様は 人を殺します
私は 今宵 殺される
なんでも無い
あの方は あなたを信じて居りました
ありがとう 友よ
ああ 陽が沈む
私は王の卑劣を憎んだ
見える
ままならぬ事である
願いを 聞いた
私は生れた時から正直な男であった
なんの為の平和だ
地上で最も 不名誉の人種だ
太陽も既に真昼時です
私を殴れ
そうして うるさく兄に質問を浴びせた
この短刀で何をするつもりであったか
きょうは 六人殺されました
大切な用事があるのだ
メロスは まごついた
ゆるせ と口々にわめいた
信実とは 決して空虚な妄想ではなかった
ついて来い！フィロストラトス
全部あげよう
走るのは やめて下さい
おくれたら その身代りを きっと殺すぞ
なかなか承諾してくれない
