私は ちゃんと死ぬる覚悟で居るのに
フィロストラトスでございます
たくさんの人を殺したのか
そうです
人を殺して自分が生きる
私は 永遠に裏切者だ
歩ける
ああ メロス様
人の命も問題でないのだ
君は いつでも私を信じた
泳ぎ切るより他に無い
私は信頼されている
見える
他には 何も無い
ずんずん沈む
たのむ そうして下さい
人の心は あてにならない
おまえらは わしの心に勝ったのだ
私は おくれて行くだろう
どうせ帰って来ないにきまっている
私は きっと笑われる
そうして笑って磔の台に上ってやる
あれを 人質としてここに置いて行こう
私を殴れ
婿の牧人も頑強であった
メロスには政治がわからぬ
私は 信頼に報いなければならぬ
おまえらの望みは叶ったぞ
あっぱれ
メロスは 友に一切の事情を語った
その人を殺してはならぬ
群衆は どよめいた
メロスは 単純な男であった
私は よくよく不幸な男だ
私は生れた時から正直な男であった
それから 御自身のお世嗣を
婿の牧人も頑強であった
身代りの友を救う為に走るのだ
いのちが大事だったら おくれて来い
はは
見える
それから 賢臣のアレキス様を
若い衆は 首を振って答えなかった
私は よくよく不幸な男だ
そうです
初夏 満天の星である
おくれたら その身代りを きっと殺すぞ
人の心を疑うのは 最も恥ずべき悪徳だ
私は よくよく不幸な男だ
義務遂行の希望である
